1907 1,"21,113","7,941","7,941",NA,-,250
1908,"44,032","25,975","25,975",NA,-,"3,330"
1909,"43,141","38,374","38,374",NA,-,"6,341"
1910,"55,750","39,448","39,448",NA,-,"7,781"
1911,"74,740","56,683","56,683",NA,-,"9,017"
1912,"95,661","70,310","70,310",NA,-,"9,635"
1913,"95,380","83,561","83,561",NA,-,"10,891"
1914,"124,475","104,145","104,145",NA,-,"13,133"
1915,"106,399","91,848","91,848",NA,-,"13,691"
1916,"108,767","87,831","87,831",NA,-,"11,927"
1917,"130,865","88,104","88,104",NA,-,"9,544"
1918,"169,507","151,449","87,456","63,993",-,"12,182"
1919,"256,858","217,358","89,023","128,335",-,"13,119"
1920,"218,732","177,683","125,711","51,972",-,"15,586"
1921,"195,534","181,292","163,656","17,636",-,"18,981"
1922,"162,638","170,447","160,979","9,468",-,"29,076"
1923,"165,168","145,084","137,975","7,109",-,"24,884"
1924,"177,117","150,510","140,340","10,170",-,"18,324"
1925,"162,258","152,457","152,457",NA,-,"15,613"
1926,"172,232","146,331","146,239",92,-,"13,274"
1927,"240,339","199,804","195,493","4,311",-,"11,946"
1928,"240,321","233,155","228,006","5,149",-,"12,479"
1929,"255,519","224,728","224,197",531,-,"11,848"
1930,"113,151","169,377","167,637","1,740",-,"9,068"
1931,"145,474","143,495","140,271","3,224",-,"7,514"
1932,"131,062","136,600","136,598",2,-,"5,478"
1933,"112,629","113,363","112,368",995,-,"4,703"
1934,"117,125","113,669","110,867","2,802",-,"1,133"
1935,"131,378","118,945","118,945",NA,-,"2,765"
1936,"167,127","141,265","140,784",481,-,"3,124"
1937,"165,464","164,976","162,923","2,053",-,"4,042"
1938,"175,413","162,078","158,142","3,936",-,"4,854"
1939,"213,413","188,813","185,175","3,638",-,"5,630"
1940,"278,028","235,260","232,500","2,760",-,"6,549"
1941,"277,807","277,294","275,747","1,547",-,"7,769"
1942,"343,487","270,364","268,762","1,602",-,"8,348"
1943,"377,125","318,933","281,459","37,474",-,"13,656"
1944,"325,717","441,979","392,766","49,213",-,"7,297"
1945,"195,917","231,402","208,707","22,695",-,"9,782"
1946,"123,864","150,062","134,849","15,213",-,"6,575"
1947,"88,802","93,904","77,442","16,462",-,"3,953"
1948,"68,265","70,150","69,080","1,070",-,"2,887"
1949,"71,044","66,594","64,138","2,456",-,"2,271"
1950,"66,038","66,346","64,279","2,067",-,"2,276"
1951,"61,634","54,716","53,741",975,-,"2,395"
1952,"94,086","88,655","87,070","1,585",-,"2,163"
1953,"98,128","92,051","90,476","1,575",-,"2,300"
1954,"130,722","117,831","104,086","13,745",-,"2,084"
1955,"213,508","209,526","197,568","11,958",-,"4,571"
1956,"137,701","145,885","138,681","7,204",-,"3,935"
1957,"140,547","138,043","137,198",845,-,"2,948"
1958,"117,344","119,866","118,950",916,-,"2,688"
1959,"109,270","103,931","102,623","1,308",-,"2,208"
1960,"127,543","119,442","117,848","1,594",-,"2,277"
1961,"138,718","132,450","130,731","1,719",-,"3,175"
1962,"129,682","127,307","124,972","2,335",-,"3,557"
1963,"121,170","124,178","121,618","2,560",-,"2,436"
1964,"113,218","112,234","109,629","2,605",-,"2,309"
1965,"106,813","104,299","101,214","3,085",-,"2,059"
1966,"104,853","103,059","100,498","2,561",-,"2,029"
1967,"108,369","104,902","102,211","2,691",-,"2,008"
1968,"103,085","102,726","100,288","2,438",-,"1,962"
1969,"102,317","98,709","93,251","5,458",-,"2,043"
1970,"114,760","110,399","99,783","10,616",-,"1,979"
1971,"109,897","108,407","98,858","9,549",-,"2,028"
1972,"121,883","116,215","107,740","8,475",-,"1,837"
1973,"126,929","120,404","112,628","7,776",-,"1,708"
1974,"136,175","131,153","124,342","6,811",-,"2,210"
1975,"149,399","140,749","134,586","6,163",-,"2,300"
1976 3,"199,152","189,988","182,887","7,101",-,"2,799"
1977,"186,354","159,873","154,568","5,305",-,"2,845"
1978,"168,854","171,971","166,911","5,060",-,"3,894"
1979,"165,434","163,107","157,305","5,802",-,"3,987"
1980,"192,230","156,627","152,073","4,554",-,"4,370"
1981,"171,073","164,389","160,342","4,047",-,"4,316"
1982,"201,507","141,004","138,188","2,816",-,"3,994"
1983,"187,719","178,415","175,159","3,182",74,"3,160"
1984,"286,440","195,862","190,984","2,944","1,934","3,373"
1985,"305,981","242,451","236,202","3,237","3,012","3,610"
1986,"290,732","279,497","274,263","2,886","2,348","5,980"
1987,"232,988","223,249","220,393","2,362",494,"6,771"
1988,"237,752","240,775","238,275","2,278",222,"4,304"
1989,"227,692","232,655","230,088","1,947",620,"5,200"
1990,"233,843","267,586","245,410","1,618","20,558","6,516"
1991,"206,668","307,394","298,741","1,802","6,851","6,268"
1992,"342,238","239,664","221,997","5,699","11,968","19,293"
1993,"521,866","313,590","302,383","7,062","4,145","39,931"
1994,"543,353","429,123","398,364","5,890","24,869","40,561"
1995,"959,963","485,720","472,518","3,855","9,347","46,067"
1996,"1,277,403","1,040,991","924,368","1,214","115,409","229,842"
1997,"1,412,712","596,010","532,871",531,"62,608","130,676"
1998,"932,957","461,169","437,689",961,"22,519","137,395"
1999,"765,346","837,418","740,718",711,"95,989","379,993"
2000,"460,916","886,026","812,579",836,"72,611","399,670"
2001,"501,643","606,259","575,030",758,"30,471","218,326"
2002,"700,649","572,646","550,835","1,053","20,758","139,779"
2003,"523,370","462,435","449,123","3,865","9,447","91,599"
2004,"662,796","537,151","520,771","4,668","11,712","103,339"
2005,"602,972","604,280","589,269","4,614","10,397","108,247"
2006,"730,642","702,589","684,484","6,259","11,846","120,722"
2007,"1,382,993","660,477","648,005","3,808","8,664","89,683"
2008,"525,786","1,046,539","1,032,281","4,342","9,916","121,283"
2009,"570,442","743,715","726,043","7,100","10,572","109,813"
2010,"710,544","619,913","604,410","9,122","6,381","56,994"
2011,"756,008","694,193","677,385","8,373","8,435","57,065"
2012,"899,162","757,434","745,932","7,257","4,245","65,874"